x,y,z,intensity,frame,sigma,sigmaZ
1996.1111655140978,88.9667952779679,1049.7707513230355,2019.4128417968750,1,16.6157398223877,31.5169811248779
572.9732805689254,1600.7110649571100,1228.8054492861775,1319.3182373046875,1,49.2502059936523,0.8581777215004
1047.9753131443003,630.8987869682447,1024.5135653170837,936.9212646484375,1,0.8589142560959,32.7774124145508
1041.7750060422422,98.1909339530419,1349.0085617747998,2222.3608398437500,1,1.4594051837921,22.3792781829834
62.1137890977681,1730.7311376250473,636.5005227646828,880.2789306640625,1,7.7949447631836,32.5555458068848
1992.5691248601863,1811.7301424433026,1273.5020640505400,1577.8709716796875,1,38.2950935363770,8.8006362915039
360.1381042716657,1904.1379843009995,1112.9659757806223,1829.2214355468750,1,7.7781739234924,28.9580402374268
1174.0628029880259,165.8510266353998,779.9412735948605,1967.7144775390625,1,10.9808254241943,29.3868923187256
1022.8152362673517,499.5469786009703,527.7257382692574,2100.0427246093750,1,4.9132370948792,11.9984474182129
558.6120063994392,925.8602270566124,94.4103800121351,1383.2850341796875,1,9.6120424270630,50.7987327575684
759.1159203097809,1646.3957848196139,831.1028852608659,1523.1818847656250,1,2.7893173694611,28.6310768127441
848.9935169636583,1958.5525534991264,1123.0861513172124,1043.2478027343750,1,13.5251598358154,46.4973754882813
1620.8903386973127,1193.4628398392827,941.3084749382411,1936.0972900390625,1,14.4494552612305,42.2464981079102
1673.7255773260754,1314.5502665961019,657.6771574266729,2080.9992675781250,1,11.1115465164185,73.6226577758789
181.0574734637413,387.4445575676170,500.9506877950246,628.2570800781250,1,1.9922039508820,8.8316659927368
1805.0311874961035,96.6887420957697,680.5634222448117,684.0449218750000,1,20.2090854644775,28.5587806701660
129.8875811321815,1174.0917156980422,1350.2248953224287,493.1211242675781,1,3.9638814926147,17.3679275512695
456.9084258459993,61.9859225188445,435.7393639313534,928.8033447265625,1,11.4613904953003,100.8423080444336
878.3599245786263,1849.5895844169681,460.7290627743424,1657.1580810546875,1,11.4500331878662,79.4330825805664
979.9078638701616,905.2926676450932,1361.2986594204572,1493.7620849609375,1,25.0564975738525,13.2894468307495
172.8601997309858,741.5931829705032,1301.6280406984681,535.1146240234375,1,4.7883739471436,4.7989711761475
1862.8983000870999,216.0084144829097,419.9596874200802,908.7832641601563,1,0.4060667455196,38.8942222595215
160.8158787764902,553.5193449424613,710.3288674238438,840.2997436523438,1,15.2391414642334,73.4465484619141
1139.6515433686729,710.2573310243106,940.8480406785498,2250.6821289062500,1,1.2067402601242,39.2862129211426
